id,price
1,4.510169
2,6.328071
3,13.587542
4,5.531681
5,5.0250616
6,8.671779
7,10.764124
8,3.6221557
9,8.107114
10,6.034167
11,5.3278866
12,9.595269
13,3.738534
14,7.4109917
15,7.020357
16,12.18822
17,7.0114045
18,5.6957555
19,7.8011055
20,5.0492225
21,4.270252
22,5.758613
23,6.833405
24,6.1514897
25,8.502766
26,4.7976317
27,4.459257
28,2.3844967
29,8.066416
30,3.2255306
31,3.5076964
32,5.352433
33,4.41008
34,4.9422083
35,13.943704
36,8.181737
37,18.773066
38,4.7567134
39,6.9163127
40,4.0864363
41,3.864315
42,8.703068
43,6.357995
44,5.1037445
45,5.941612
46,2.0571275
47,52.809837
48,5.88658
49,7.3230705
50,3.25921
51,4.674535
52,6.5317926
53,3.6804757
54,3.53266
55,4.1258183
56,14.840659
57,6.517626
58,4.6850896
59,17.606316
60,2.3908474
61,8.206923
62,5.090253
63,6.2471914
64,17.146475
65,7.00925
66,7.425018
67,9.255826
68,5.593359
69,2.0696406
70,5.986767
71,7.2222013
72,9.83411
73,2.5400972
74,4.435871
75,3.3671103
76,7.909669
77,6.5384603
78,3.8319278
79,8.4332285
80,6.154975
81,5.730487
82,9.255674
83,9.078757
84,2.2156723
85,15.160281
86,22.38607
87,5.0524445
88,3.0532308
89,3.8886292
90,13.713497
91,7.778921
92,6.8656297
93,10.147698
94,4.720127
95,6.8285027
96,8.297664
97,6.8166184
98,3.5781271
99,8.429422
100,7.194523
101,5.0864825
102,3.3041458
103,9.580413
104,15.698766
105,2.608002
106,7.428185
107,9.848013
108,4.861349
109,30.776817
110,5.242104
111,7.6718364
112,6.45548
113,3.8978138
114,5.01823
115,5.662905
116,8.976873
117,8.602074
118,11.230661
119,6.826855
120,5.2939277
121,1.673694
122,12.888118
123,11.199584
124,8.822769
125,5.687037
126,7.9240117
127,11.022217
128,9.734896
129,3.7306142
130,5.381406
131,2.2543588
132,9.695657
133,6.8124
134,7.897449
135,3.7400074
136,4.3353972
137,7.598903
138,7.371699
139,4.495837
140,8.739479
141,5.8172846
142,8.327461
143,11.04228
144,4.451647
145,6.649531
146,7.0085907
147,13.533515
148,4.2727976
149,4.269094
150,4.2562513
151,5.198778
152,4.246279
153,11.565609
154,3.1988947
155,5.051886
156,6.595617
157,29.176998
158,5.9558063
159,4.817208
160,7.0092134
161,14.321669
162,57.391045
163,12.607743
164,9.702775
165,7.2814755
166,8.878383
167,8.464491
168,6.0566454
169,7.1489863
170,6.223073
171,3.4608853
172,5.8919716
173,6.3200293
174,7.535139
175,16.641365
176,2.734816
177,3.4286618
178,8.183875
179,4.402089
180,6.0966134
181,7.396425
182,5.1551743
183,5.5889654
184,8.661729
185,8.233909
186,1.1145444
187,8.936851
188,6.0140634
189,6.667988
190,9.083942
191,4.973545
192,8.892262
